"IDStations","PRO_COM","weight"
"1264",14002,0.26789
"1264",14011,0.01159
"1264",14028,0.05405
"1264",14044,0.20369
"1264",14049,0.10209
"1264",14051,0.0223
"1264",14052,0.00024
"1264",14061,0.23803
"1264",14062,0.04336
"1264",14067,0.05675
"1265",19041,0.02574
"1265",98003,0.02108
"1265",98017,5e-05
"1265",98021,0.06375
"1265",98024,0.00294
"1265",98027,0.01719
"1265",98031,0.46884
"1265",98032,0.00925
"1265",98037,0.08101
"1265",98040,0.08758
"1265",98044,0.01367
"1265",98045,0.09065
"1265",98048,0.10405
"1265",98056,0.00183
"1265",98060,0.01237
"1266",19034,0.01852
"1266",19044,0.00017
"1266",19049,0.00885
"1266",19059,0.07804
"1266",19060,0.03013
"1266",19080,0.00935
"1266",98002,0.2311
"1266",98010,0.15303
"1266",98014,0.12686
"1266",98017,0.01387
"1266",98019,0.02713
"1266",98034,1e-05
"1266",98052,0.00281
"1266",98057,0.12559
"1266",98058,0.15114
"1266",98062,0.02341
"1269",16024,0.07495
"1269",16029,0.02008
"1269",16030,0.05096
"1269",16031,0.05945
"1269",16037,0.01557
"1269",16081,0.01064
"1269",16089,0.05594
"1269",16091,0.13614
"1269",16098,0.03243
"1269",16123,0.02513
"1269",16126,0.05994
"1269",16131,0.01197
"1269",16132,0.00227
"1269",16143,0.01415
"1269",16152,0.06275
"1269",16153,0.0862
"1269",16170,0.01694
"1269",16176,0.02917
"1269",16207,0.05663
"1269",16220,0.09752
"1269",16232,0.03066
"1269",16233,0.0505
"1274",13113,0.04703
"1274",13145,0.07682
"1274",13185,0.01165
"1274",13248,0.12405
"1274",13250,0.12265
"1274",13252,0.00048
"1274",97008,0.16971
"1274",97030,0.02742
"1274",97035,0.08677
"1274",97043,0.02245
"1274",97060,0.00143
"1274",97064,0.00423
"1274",97067,0.15942
"1274",97084,0.14587
"1297",19001,0.0932
"1297",19026,0.07259
"1297",19036,0.09089
"1297",19038,0.04253
"1297",19051,0.01068
"1297",19065,0.01508
"1297",19095,0.24665
"1297",19100,0.19809
"1297",33014,0.02558
"1297",33027,0.19257
"1297",98013,0.01212
"1374",15051,0.00222
"1374",15077,0.03398
"1374",15081,0
"1374",15209,0.00718
"1374",108001,0.00352
"1374",108003,0.00716
"1374",108004,0.05631
"1374",108009,0.05887
"1374",108012,0.06655
"1374",108014,0.00032
"1374",108021,0.02673
"1374",108023,0.01221
"1374",108026,0.04372
"1374",108028,0.10374
"1374",108029,0.03327
"1374",108033,0.37791
"1374",108034,0.03324
"1374",108039,0.0157
"1374",108041,0.03498
"1374",108043,0.0048
"1374",108046,0.02398
"1374",108049,0.0536
"1800",17021,0.09769
"1800",17023,0.06171
"1800",17029,0.54786
"1800",17043,0.1469
"1800",17078,0.00134
"1800",17114,0.01651
"1800",17117,0.00062
"1800",17147,0.01688
"1800",17161,0.05407
"1800",17173,0.05642
"1801",17021,0.00836
"1801",17025,0.01396
"1801",17029,0.77072
"1801",17042,0.00035
"1801",17048,0.07216
"1801",17057,0.05223
"1801",17061,0.00591
"1801",17072,0.00597
"1801",17081,0.02048
"1801",17117,0.01396
"1801",17165,0.01447
"1801",17173,0.02142
"501",15027,0.00078
"501",15032,0.04079
"501",15077,0.02068
"501",15086,0.03517
"501",15098,0.00377
"501",15146,0.81228
"501",15157,0.02935
"501",15209,0.05718
"504",15032,0.03576
"504",15077,0.14892
"504",15081,0.06292
"504",15086,5e-05
"504",15098,0.01595
"504",15146,0.30164
"504",15166,0.01698
"504",15205,0.05439
"504",15209,0.13766
"504",15242,0.02339
"504",108012,0.02293
"504",108033,0.14024
"504",108034,0.01993
"504",108035,0.01924
"514",15009,0.07256
"514",15012,0.0435
"514",15027,0.02038
"514",15087,0.11621
"514",15105,0.04178
"514",15116,0.10379
"514",15146,0.08386
"514",15154,0.03132
"514",15170,0.05936
"514",15176,0.02212
"514",15179,0.05213
"514",15182,0.25761
"514",15211,0.08106
"514",15229,0.01431
"517",3016,0.03561
"517",3032,0.12526
"517",3068,0.22243
"517",3108,0.00138
"517",3131,0.00902
"517",12090,0.06655
"517",15062,0.17238
"517",15096,0.04403
"517",15131,0.00273
"517",15155,0.05447
"517",15183,0.14654
"517",15226,0.09922
"517",15249,0.02038
"528",15011,0.00256
"528",15146,0.99691
"528",15192,0.00053
"529",15032,0.04084
"529",15077,0.14897
"529",15081,0.04433
"529",15086,0.00393
"529",15098,0.02858
"529",15146,0.19737
"529",15166,0.03699
"529",15205,0.00395
"529",15209,0.1377
"529",15242,0.01157
"529",108012,0.01082
"529",108023,0.00967
"529",108028,0.00726
"529",108033,0.18007
"529",108034,0.06303
"529",108035,0.06857
"529",108045,0.00635
"531",15040,0.01204
"531",15060,0.04588
"531",15070,0.11926
"531",15081,0.02882
"531",15139,0.00278
"531",15146,8e-05
"531",15167,0.05722
"531",15171,0.16381
"531",15175,0.1532
"531",15185,0.14825
"531",15205,0.14298
"531",15210,0.04151
"531",15237,0.04462
"531",15242,0.03955
"539",15011,0.07486
"539",15036,0.02239
"539",15093,0.00039
"539",15146,0.87082
"539",15159,0.00381
"539",15189,0.02521
"539",15192,0.00252
"542",13012,0.00071
"542",13035,0.03579
"542",13041,0.00387
"542",13046,0.02475
"542",13048,0.01476
"542",13101,0.02632
"542",13143,0.13319
"542",13163,0.03322
"542",15213,0.00128
"542",108005,0.03405
"542",108010,0.02916
"542",108018,0.00424
"542",108019,0.13334
"542",108020,0.00436
"542",108023,0.06341
"542",108024,0.04508
"542",108027,0.02392
"542",108030,0.09295
"542",108039,0.08521
"542",108040,0.08537
"542",108054,0.12503
"544",15027,0.07492
"544",15032,0.04083
"544",15077,0.05849
"544",15086,0.05239
"544",15098,0.036
"544",15146,0.26071
"544",15157,0.06049
"544",15166,0.16118
"544",15206,0.06732
"544",15209,0.00406
"544",15250,0.01645
"544",108010,0.00179
"544",108023,0.00413
"544",108027,0.05394
"544",108034,0.00074
"544",108035,0.0686
"544",108045,0.03794
"545",15022,0.1446
"545",15035,0.02483
"545",15042,0.01613
"545",15150,0.05726
"545",15151,0.1216
"545",15236,0.02204
"545",18014,0.19475
"545",18018,0.06049
"545",18034,0.11616
"545",18068,0.03679
"545",18069,0.02141
"545",18159,0.0012
"545",18163,0.00495
"545",18165,0.03995
"545",18177,0.07208
