"Lon","Lat","unique.df1.id."
8.05,44.35,1
8.15,44.35,2
8.25,44.35,3
8.35,44.35,4
8.45,44.35,5
8.55,44.35,6
8.65,44.35,7
8.75,44.35,8
8.85,44.35,9
8.95,44.35,10
9.05,44.35,11
9.15,44.35,12
9.25,44.35,13
9.35,44.35,14
9.45,44.35,15
9.55,44.35,16
9.65,44.35,17
9.75,44.35,18
9.85,44.35,19
9.95,44.35,20
10.05,44.35,21
10.15,44.35,22
10.25,44.35,23
10.35,44.35,24
10.45,44.35,25
10.55,44.35,26
10.65,44.35,27
10.75,44.35,28
10.85,44.35,29
10.95,44.35,30
11.05,44.35,31
11.15,44.35,32
11.25,44.35,33
11.35,44.35,34
11.45,44.35,35
11.55,44.35,36
11.65,44.35,37
11.75,44.35,38
11.85,44.35,39
8.05,44.45,40
8.15,44.45,41
8.25,44.45,42
8.35,44.45,43
8.45,44.45,44
8.55,44.45,45
8.65,44.45,46
8.75,44.45,47
8.85,44.45,48
8.95,44.45,49
9.05,44.45,50
9.15,44.45,51
9.25,44.45,52
9.35,44.45,53
9.45,44.45,54
9.55,44.45,55
9.65,44.45,56
9.75,44.45,57
9.85,44.45,58
9.95,44.45,59
10.05,44.45,60
10.15,44.45,61
10.25,44.45,62
10.35,44.45,63
10.45,44.45,64
10.55,44.45,65
10.65,44.45,66
10.75,44.45,67
10.85,44.45,68
10.95,44.45,69
11.05,44.45,70
11.15,44.45,71
11.25,44.45,72
11.35,44.45,73
11.45,44.45,74
11.55,44.45,75
11.65,44.45,76
11.75,44.45,77
11.85,44.45,78
8.05,44.55,79
8.15,44.55,80
8.25,44.55,81
8.35,44.55,82
8.45,44.55,83
8.55,44.55,84
8.65,44.55,85
8.75,44.55,86
8.85,44.55,87
8.95,44.55,88
9.05,44.55,89
9.15,44.55,90
9.25,44.55,91
9.35,44.55,92
9.45,44.55,93
9.55,44.55,94
9.65,44.55,95
9.75,44.55,96
9.85,44.55,97
9.95,44.55,98
10.05,44.55,99
10.15,44.55,100
10.25,44.55,101
10.35,44.55,102
10.45,44.55,103
10.55,44.55,104
10.65,44.55,105
10.75,44.55,106
10.85,44.55,107
10.95,44.55,108
11.05,44.55,109
11.15,44.55,110
11.25,44.55,111
11.35,44.55,112
11.45,44.55,113
11.55,44.55,114
11.65,44.55,115
11.75,44.55,116
11.85,44.55,117
8.05,44.65,118
8.15,44.65,119
8.25,44.65,120
8.35,44.65,121
8.45,44.65,122
8.55,44.65,123
8.65,44.65,124
8.75,44.65,125
8.85,44.65,126
8.95,44.65,127
9.05,44.65,128
9.15,44.65,129
9.25,44.65,130
9.35,44.65,131
9.45,44.65,132
9.55,44.65,133
9.65,44.65,134
9.75,44.65,135
9.85,44.65,136
9.95,44.65,137
10.05,44.65,138
10.15,44.65,139
10.25,44.65,140
10.35,44.65,141
10.45,44.65,142
10.55,44.65,143
10.65,44.65,144
10.75,44.65,145
10.85,44.65,146
10.95,44.65,147
